ORF,Mtb_ortholog,functional_category,name,negative_call,positive_call,desc,sites,mean_ctrl,mean_exp,log2FC,sum_ctrl,sum_exp,delta_mean,pvalue,adj_pvalue
MB0803,Rv0780,intermediary metabolism and respiration,purC,ES,ES,PHOSPHORIBOSYLAMINOIMIDAZOLE-SUCCINOCARBOXAMIDE SYNTHASE PURC (SAICAR SYNTHETASE),25,0,0,0,0,0,0,1,1
MB0804,Rv0781,intermediary metabolism and respiration,ptrB,NE,ES,probable protease ii ptrbb [second part] (oligopeptidase b),56,52.9,52.3,-0.01,11846,11714.54,-0.6,0.9829,1
MB0805c,Rv0783c,cell wall and cell processes,emrB,NE,NE,POSSIBLE MULTIDRUG RESISTANCE INTEGRAL MEMBRANE EFFLUX PROTEIN EMRB,26,59,24.8,-1.1,6134.9,2574.96,-34.2,0.2337,0.64307
MB0806,Rv0784,conserved hypotheticals,NA,NE,NE,Predicted deacetylase,9,6.4,0.1,-1.17,230,2.58,-6.3,0.0056,0.16296
MB0807,Rv0785,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN [FIRST PART],11,83.3,25.9,-1.52,3666.6,1137.84,-57.5,0.3402,0.73461
MB0808,Rv0785,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN [SECOND PART],16,92.3,201.1,1.08,5904.1,12870.97,108.9,0.1526,0.56064
MB0809c,Rv0786c,conserved hypotheticals,NA,NE,NE,Predicted Zn-dependent hydrolases of the beta-lactamase fold,9,96.9,201.4,1.02,3488.4,7251.78,104.5,0.2914,0.69705
MB0810,Rv0787,conserved hypotheticals,NA,NE,NE,unknown protein,15,67.3,78,0.2,4039.8,4680.7,10.7,0.7694,1
MB0811,Rv0787A,conserved hypotheticals,purS,ES,ES,"Phosphoribosylformylglycinamidine synthase, PurS subunit (EC 6.3.5.3)",2,0,0,0,0,0,0,1,1
MB0812,Rv0788,intermediary metabolism and respiration,purQ,ES,ES,PROBABLE PHOSPHORIBOSYLFORMYLGLYCINAMIDINE SYNTHASE I PURG (FGAM SYNTHASE I),11,0.8,0.3,-0.15,36.2,11.07,-0.6,1,1
MB0813c,Rv0789c,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,7,97.6,53,-0.82,2734,1485.23,-44.6,0.3809,0.76578
MB0814c,Rv0790c,conserved hypotheticals,NA,NE,NE,"Transglutaminase-like enzymes, putative cysteine proteases",19,209,396.5,0.91,15881.7,30132.29,187.5,0.1957,0.6127
MB0815c,Rv0791c,conserved hypotheticals,NA,NE,NE,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases",13,117.1,49.9,-1.15,6089,2597.29,-67.1,0.047,0.37236
MB0816c,Rv0792c,regulatory proteins,NA,NE,NE,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY),16,234.7,192.9,-0.28,15020.9,12348.11,-41.8,0.6574,0.94264
MB0817,Rv0793,intermediary metabolism and respiration,NA,NE,NE,possible monooxygenase,7,187.6,313.9,0.73,5253.3,8788.92,126.3,0.3988,0.77892
MB0818c,Rv0794c,intermediary metabolism and respiration,NA,NE,NE,PROBABLE OXIDOREDUCTASE [SECOND PART],9,22.7,1.5,-2.1,815.6,52.98,-21.2,0.0677,0.43125
MB0819c,Rv0794c,intermediary metabolism and respiration,NA,NE,NE,PROBABLE OXIDOREDUCTASE [FIRST PART],9,136.7,128.4,-0.09,4920,4623.1,-8.2,0.8735,1
MB0820,Rv0797,insertion seqs and phages,NA,NE,NE,PUTATIVE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1547,11,178.6,110.9,-0.66,7858.3,4878.94,-67.7,0.1846,0.59962
MB0821c,Rv0798c,"virulence, detoxification, adaptation",cfp29,NE,NE,29 KDa ANTIGEN CFP29,14,98.8,77.8,-0.33,5531.1,4357.34,-21,0.6312,0.92608
MB0822c,Rv0799c,conserved hypotheticals,NA,NE,NE,"Predicted dye-decolorizing peroxidase (DyP), encapsulated subgroup",9,43.4,110.6,1.26,1562.1,3981.55,67.2,0.2848,0.69066
MB0823,Rv0800,intermediary metabolism and respiration,pepC,NE,NE,PROBABLE AMINOPEPTIDASE PEPC,13,90,20.3,-1.91,4682.2,1057.8,-69.7,0.0283,0.31066
MB0824,Rv0801,conserved hypotheticals,NA,NE,NE,Glyoxalase family protein,1,979.4,93.7,-3.32,3917.5,374.68,-885.7,0.3339,0.73116
MB0825c,Rv0802c,intermediary metabolism and respiration,NA,NE,NE,possible succinyltransferase in the gcn5-related n-acetyltransferase family,13,71.4,100.4,0.47,3710.3,5221.71,29.1,0.6122,0.91547
MB0826,Rv0803,intermediary metabolism and respiration,purL,ES,ES,PHOSPHORIBOSYLFORMYLGLYCINAMIDINE SYNTHASE II PURL (FGAM SYNTHASE II),31,1.2,0,-0.32,155,0,-1.2,0.5005,0.82744
MB0827,Rv0804,conserved hypotheticals,NA,NE,NE,Integral membrane protein,6,122.1,266.8,1.1,2929.8,6403.78,144.8,0.2361,0.6466
MB0828,Rv0805,intermediary metabolism and respiration,NA,NE,NE,class iii cyclic nucleotide phosphodiesterase (cnmp pde),16,271.6,501.1,0.87,17381.1,32073.48,229.6,0.1308,0.52024
MB0829c,Rv0806c,cell wall and cell processes,cpsY,NE,NE,POSSIBLE UDP-GLUCOSE-4-EPIMERASE CPSY (GALACTOWALDENASE) (UDP-GALACTOSE-4-EPIMERASE) (URIDINE DIPHOSPHATE GALACTOSE-4-EPIMERASE) (URIDINE DIPHOSPHO-GALACTOSE-4-EPIMERASE),38,193.4,223.9,0.21,29396.7,34039.52,30.5,0.6566,0.94245
MB0830,Rv0807,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,1,1,759.7,7,3.9,3038.95,758.8,0.3258,0.7277
MB0831,Rv0808,intermediary metabolism and respiration,purF,ES,ES,amidophosphoribosyltransferase purf (glutamine phosphoribosylpyrophosphate amidotransferase) (atase) (gpatase),24,14,12.4,-0.13,1342.7,1187.05,-1.6,0.8561,1
MB0832,Rv0809,intermediary metabolism and respiration,purM,ES,ES,PROBABLE PHOSPHORIBOSYLFORMYLGLYCINAMIDINE CYCLO-LIGASE PURM (AIRS) (PHOSPHORIBOSYL-AMINOIMIDAZOLE SYNTHETASE) (AIR SYNTHASE),13,0,0,0,0,0,0,1,1
MB0833c,Rv0810c,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,3,0,0,0,0,0,0,1,1
MB0834c,Rv0811c,conserved hypotheticals,NA,ES,ES,tRNA-modifying protein YgfZ,16,0,0,0,0,0,0,1,1
MB0835,Rv0812,intermediary metabolism and respiration,NA,NE,NE,PROBABLE AMINO ACID AMINOTRANSFERASE,16,149.3,192.4,0.36,9555.9,12316.19,43.1,0.6029,0.90794
MB0836c,Rv0813c,conserved hypotheticals,NA,NE,NE,DUF1794,13,115.6,74.6,-0.6,6012.7,3879.51,-41,0.229,0.64246
MB0837c,Rv0814c,intermediary metabolism and respiration,sseC2,NE,NE,Sulfur metabolism protein SseC,3,578.1,2409.2,2.05,6937,28910.92,1831.2,0.4,0.78089
MB0838c,Rv0815c,intermediary metabolism and respiration,cysA2,NE,NE,PROBABLE THIOSULFATE SULFURTRANSFERASE CYSA2 (RHODANESE-LIKE PROTEIN) (THIOSULFATE CYANIDE TRANSSULFURASE) (THIOSULFATE THIOTRANSFERASE),15,346.9,412.5,0.25,20814.9,24747.71,65.5,0.6177,0.9186
MB0839c,Rv0816c,intermediary metabolism and respiration,thiX,NE,NE,PROBABLE THIOREDOXIN THIX,2,39.9,21.2,-0.77,319,169.96,-18.6,0.5569,0.87498
MB0840c,Rv0817c,cell wall and cell processes,NA,ES,ES,PROBABLE CONSERVED EXPORTED PROTEIN,16,0,6.8,1.24,0,435.34,6.8,0.1221,0.50738
MB0841,Rv0818,regulatory proteins,NA,NE,NE,TRANSCRIPTIONAL REGULATORY PROTEIN,11,231,116,-0.96,10164.3,5103.46,-115,0.0869,0.4671
MB0842,Rv0819,intermediary metabolism and respiration,mshD,NE,NE,"gcn5-related n-acetyltransferase, mshd",11,99.1,76.7,-0.35,4358.7,3376.8,-22.3,0.5228,0.84793
MB0843,Rv0820,cell wall and cell processes,phoT,NE,NE,PROBABLE PHOSPHATE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER PHOT,11,34.3,95.4,1.35,1510.8,4198.69,61.1,0.0756,0.4503
MB0844c,Rv0821c,cell wall and cell processes,phoY2,NE,NE,PROBABLE PHOSPHATE-TRANSPORT SYSTEM TRANSCRIPTIONAL REGULATORY PROTEIN PHOY2,6,216.3,130.1,-0.71,5192.2,3123.36,-86.2,0.4267,0.7912
MB0845c,Rv0822c,conserved hypotheticals,NA,NE,NE,"Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1",27,243.9,258.1,0.08,26337.2,27876.12,14.2,0.8496,1
MB0846c,Rv0823c,regulatory proteins,NA,NE,NE,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN,13,472.7,436.2,-0.11,24582,22682.92,-36.5,0.7769,1
MB0847c,Rv0824c,lipid metabolism,desA1,ES,ES,PROBABLE ACYL-[ACYL-CARRIER PROTEIN] DESATURASE DESA1 (ACYL-[ACP] DESATURASE) (STEAROYL-ACP DESATURASE) (PROTEIN DES),19,0,0,0,0,0,0,1,1
MB0848c,Rv0825c,conserved hypotheticals,NA,NE,NE,"Transcriptional regulator, AcrR family",10,105.1,45.8,-1.11,4202.4,1832.77,-59.2,0.0775,0.45698
MB0849,Rv0826,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,21,324.3,460.8,0.5,27243.5,38706.08,136.5,0.205,0.61925
MB0850c,Rv0827c,regulatory proteins,kmtr,NE,NE,metal sensor transcriptional regulator kmtr (arsr-smtb family),7,64.6,14.5,-1.83,1808,406.84,-50,0.1032,0.48938
MB0851c,Rv0828c,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE DEAMINASE,10,380.2,822.8,1.1,15207.4,32910.49,442.6,0.08,0.46097
MB0852,Rv0829,insertion seqs and phages,NA,NE,NE,possible transposase (fragment),4,86.6,183.9,1.04,1385.6,2942.74,97.3,0.1466,0.54691
MB0853,Rv0830,lipid metabolism,NA,NE,NE,possible s-adenosylmethionine-dependent methyltransferase,19,365.8,180.7,-1,27804.1,13736.81,-185.1,0.0485,0.37368
MB0854c,Rv0831c,conserved hypotheticals,NA,NE,NE,conserved protein,19,231.1,423.3,0.86,17566.1,32173.63,192.2,0.067,0.42882
MB0855,Rv0832,PE/PPE,PE_PGRS12,NE,NE,pe-pgrs family protein pe_pgrs12,3,134.2,255.3,0.9,1610.6,3064.03,121.1,0.287,0.69271
MB0856,Rv0833,PE/PPE,PE_PGRS13,NE,NE,pe-pgrs family protein pe_pgrs13,5,18.9,7.6,-0.93,377.8,151.41,-11.3,0.2704,0.66938
MB0857c,Rv0834c,PE/PPE,PE_PGRS14,NE,NE,pe-pgrs family protein pe_pgrs14,21,89.1,104.4,0.22,7481.3,8765.57,15.3,0.6906,0.96761
MB0858,Rv0835,cell wall and cell processes,lpqQ,NE,NE,POSSIBLE LIPOPROTEIN LPQQ,11,87.6,162,0.85,3856.2,7126.59,74.3,0.2195,0.63539
MB0859c,Rv0836c,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,9,181.4,466.3,1.34,6529.1,16787.88,285,0.035,0.33018
MB0860c,Rv0837c,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,21,244.8,228.7,-0.1,20559,19210.32,-16.1,0.8649,1
MB0861,Rv0838,cell wall and cell processes,lpqR,NE,NE,PROBABLE CONSERVED LIPOPROTEIN LPQR,7,224.3,53.2,-1.98,6281.6,1489.92,-171.1,0.121,0.50615
MB0862,Rv0839,conserved hypotheticals,NA,NE,NE,SAM-dependent methyltransferase,13,202.5,117.6,-0.76,10527.6,6112.6,-84.9,0.228,0.64246
MB0863c,Rv0840c,intermediary metabolism and respiration,pip,NE,NE,PROBABLE PROLINE IMINOPEPTIDASE PIP (PROLYL AMINOPEPTIDASE) (PAP),8,139.9,313.6,1.14,4477.6,10034.02,173.6,0.0841,0.46323
MB0864,Rv0841,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,3,0,1.9,0.46,0,22.4,1.9,0.2236,0.63874
MB0865,Rv0842,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN,20,173.6,79.2,-1.08,13889.8,6338.54,-94.4,0.1716,0.58613
MB0866,Rv0843,intermediary metabolism and respiration,NA,NE,NE,PROBABLE DEHYDROGENASE,14,137.1,175.2,0.34,7678.1,9809.48,38.1,0.5103,0.83333
MB0867c,Rv0844c,regulatory proteins,narL,NE,NE,POSSIBLE NITRATE/NITRITE RESPONSE TRANSCRIPTIONAL REGULATORY PROTEIN NARL,9,367.4,247.7,-0.56,13225.7,8917,-119.7,0.2988,0.70195
MB0868,Rv0845,regulatory proteins,NA,NE,NE,POSSIBLE TWO COMPONENT SENSOR KINASE,27,106.4,69.3,-0.58,11487,7484.93,-37.1,0.3944,0.77555
MB0869c,Rv0846c,intermediary metabolism and respiration,NA,NE,NE,PROBABLE OXIDASE,25,34,112.7,1.59,3402.3,11269.19,78.7,0.0348,0.33018
MB0870,Rv0847,cell wall and cell processes,lpqS,NE,NE,PROBABLE LIPOPROTEIN LPQS,5,33.5,86.2,1.24,670.4,1724.6,52.7,0.2584,0.65987
MB0871,Rv0848,intermediary metabolism and respiration,cysK2,NE,NE,POSSIBLE CYSTEINE SYNTHASE A CYSK2 (O-ACETYLSERINE SULFHYDRYLASE) (O-ACETYLSERINE (THIOL)-LYASE) (CSASE),26,57.2,132.1,1.14,5953.2,13737.58,74.8,0.2953,0.7014
MB0872,Rv0849,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN,21,79.3,76.2,-0.05,6662.3,6397.7,-3.1,0.916,1
MB0873,Rv0850,insertion seqs and phages,NA,NE,NE,PUTATIVE TRANSPOSASE (FRAGMENT),6,76.7,5.9,-2.91,1841,140.89,-70.8,0.0351,0.33018
MB0874c,Rv0851c,intermediary metabolism and respiration,NA,NE,NE,probable short-chain type dehydrogenase/reductase,7,19.8,126.3,2.41,553.4,3536.62,106.5,0.0176,0.26174
MB0875,Rv0852,lipid metabolism,fadD16,NE,NE,POSSIBLE FATTY-ACID-COA LIGASE FADD16 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE),13,38.4,9.3,-1.61,1998.9,481.71,-29.2,0.0435,0.35983
MB0876c,Rv0853c,intermediary metabolism and respiration,pdc,NE,NE,PROBABLE PYRUVATE OR INDOLE-3-PYRUVATE DECARBOXYLASE PDC,25,170.6,148.6,-0.19,17056,14864.86,-21.9,0.7232,0.99288
MB0877,Rv0854,conserved hypotheticals,NA,NE,NE,Cyclase/Dehydrase,6,297.4,273.5,-0.12,7137.3,6564.17,-23.9,0.8143,1
MB0878,Rv0855,lipid metabolism,far,NE,NE,PROBABLE FATTY-ACID-COA RACEMASE FAR,11,193.2,77,-1.27,8500.4,3388.97,-116.2,0.0624,0.41918
MB0879,Rv0856,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,5,91.3,18.7,-2.03,1826.2,373.14,-72.7,0.1168,0.49948
MB0880,Rv0857,conserved hypotheticals,NA,NE,NE,link to Polyketide_cyclase/dehydratase.,6,262.4,533.3,1.01,6297.2,12798.03,270.9,0.179,0.59349
MB0881c,Rv0858c,intermediary metabolism and respiration,dapc,NE,NE,probable n-succinyldiaminopimelate aminotransferase dapc (dap-at),20,81.2,238.7,1.5,6498,19096.22,157.5,0.1099,0.49265
MB0882,Rv0859,lipid metabolism,fadA,NE,NE,POSSIBLE ACYL-COA THIOLASE FADA,8,212.7,100.6,-1.04,6805.9,3219.02,-112.1,0.1743,0.58852
MB0883,Rv0860,lipid metabolism,fadB,NE,NE,PROBABLE FATTY OXIDATION PROTEIN FADB,26,68.2,44.5,-0.56,7089.1,4628.62,-23.7,0.3579,0.75253
MB0884c,Rv0861c,information pathways,ercc3,NE,NE,dna helicase ercc3,25,81.3,73.7,-0.13,8126.7,7366.08,-7.6,0.8472,1
MB0885c,Rv0862c,conserved hypotheticals,NA,NE,NE,Putative DNA-binding protein,26,62.2,46.1,-0.4,6469.6,4793.44,-16.1,0.4694,0.82267
MB0886,Rv0863,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,5,558.7,207.6,-1.41,11173.3,4151.17,-351.1,0.0663,0.42837
MB0888,Rv0864,intermediary metabolism and respiration,moaC2,NE,NE,probable molybdenum cofactor biosynthesis protein c 2 moac2,9,339.4,162.6,-1.04,12217.2,5855.17,-176.7,0.4207,0.78675
MB0889,Rv0865,intermediary metabolism and respiration,mog,NE,NE,probable molybdopterin biosynthesis mog protein,8,330.7,92.4,-1.78,10583,2957.96,-238.3,0.0521,0.38387
MB0890,Rv0866,intermediary metabolism and respiration,moaE2,NE,NE,"probable molybdenum cofactor biosynthesis protein e2 moae2 (molybdopterin converting factor large subunit) (molybdopterin [mpt] converting factor, subunit 2)",2,75.4,183.3,1.23,603.2,1466.54,107.9,0.1841,0.59958
MB0891c,Rv0867c,cell wall and cell processes,rpfA,NE,NE,POSSIBLE RESUSCITATION-PROMOTING FACTOR RPFA,9,333.2,439,0.39,11994.5,15803.81,105.8,0.513,0.83538
MB0892c,Rv0868c,intermediary metabolism and respiration,moaD2,NE,NE,"probable molybdenum cofactor biosynthesis protein d 2 moad2 (molybdopterin converting factor small subunit) (molybdopterin [mpt] converting factor, subunit 1)",5,277.4,318,0.19,5548.5,6360.07,40.6,0.7885,1
MB0893c,Rv0869c,intermediary metabolism and respiration,moaA2,NE,NE,probable molybdenum cofactor biosynthesis protein a2 moaa2,13,148.4,210.1,0.49,7717.3,10925.84,61.7,0.4355,0.79891
MB0894c,Rv0870c,cell wall and cell processes,NA,NE,NE,POSSIBLE CONSERVED INTEGRAL MEMBRANE PROTEIN,6,33,80.9,1.18,790.8,1942.25,48,0.2286,0.64246
MB0895,Rv0871,"virulence, detoxification, adaptation",cspB,NE,NE,PROBABLE COLD SHOCK-LIKE PROTEIN B CSPB,3,181.3,147.9,-0.29,2175,1774.37,-33.4,0.6756,0.95748
MB0896c,Rv0872c,PE/PPE,PE_PGRS15,NE,NE,pe-pgrs family protein pe_pgrs15,20,224.6,205.1,-0.13,17971.2,16408.51,-19.5,0.7996,1
MB0897,Rv0873,lipid metabolism,fadE10,NE,NE,PROBABLE ACYL-COA DEHYDROGENASE FADE10,30,313.1,226.9,-0.46,37569.6,27228.78,-86.2,0.3771,0.7641
MB0898c,Rv0874c,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,7,293.4,329.3,0.16,8213.9,9220.46,35.9,0.8066,1
MB0899c,Rv0875c,cell wall and cell processes,NA,NE,GD,POSSIBLE CONSERVED EXPORTED PROTEIN,10,2,0,-0.48,79,0,-2,0.243,0.64752
MB0900c,Rv0876c,cell wall and cell processes,NA,NE,GD,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN,25,23.3,26.6,0.16,2326.4,2657.54,3.3,0.8211,1
MB0901,Rv0877,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,14,191.2,184.6,-0.05,10706.9,10338.72,-6.6,0.9227,1
MB0902c,Rv0878c,PE/PPE,PPE13,NE,NE,ppe family protein ppe13,18,232.2,184.2,-0.33,16721.7,13262.73,-48,0.3886,0.77091
MB0903c,Rv0879c,cell wall and cell processes,NA,NE,NE,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN,3,9.6,18.9,0.71,115.1,227.14,9.3,0.3626,0.75672
MB0904,Rv0880,regulatory proteins,NA,NE,NE,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY MARR-FAMILY),1,38.5,0,-3.12,154.1,0,-38.5,0.0533,0.38847
MB0905,Rv0881,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE RRNA METHYLTRANSFERASE (RRNA METHYLASE),13,268,285,0.09,13938.5,14821.02,17,0.904,1
MB0906,Rv0882,cell wall and cell processes,NA,NE,NE,PROBABLE TRANSMEMBRANE PROTEIN,1,9.7,0,-1.56,38.8,0,-9.7,0.1642,0.57826
MB0907c,Rv0883c,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,6,0,0,0,0,0,0,1,1
MB0908c,Rv0884c,intermediary metabolism and respiration,serC,ES,NE,POSSIBLE PHOSPHOSERINE AMINOTRANSFERASE SERC (PSAT),10,2.1,0.1,-0.49,85.5,3.69,-2,1,1
MB0909,Rv0885,conserved hypotheticals,NA,NE,NE,Putative transmembrane protein,11,67.7,65.3,-0.05,2979.9,2871.57,-2.5,0.9312,1
MB0910,Rv0886,intermediary metabolism and respiration,fprB,NE,NE,PROBABLE NADPH:ADRENODOXIN OXIDOREDUCTASE FPRB (ADRENODOXIN REDUCTASE) (AR) (FERREDOXIN-NADP(+) REDUCTASE),23,123.8,185.6,0.57,11387.8,17077.47,61.8,0.3171,0.7206
MB0911c,Rv0887c,conserved hypotheticals,NA,NE,NE,Glyoxalase/bleomycin resistance protein/dioxygenase,4,100.8,1.3,-4.08,1613.4,20.3,-99.6,0.4023,0.78148
MB0912,Rv0888,cell wall and cell processes,NA,NE,NE,PROBABLE EXPORTED PROTEIN,27,213.7,178.9,-0.25,23078.6,19315.91,-34.8,0.6926,0.9684
MB0913c,Rv0889c,intermediary metabolism and respiration,citA,NE,NE,PROBABLE CITRATE SYNTHASE II CITA,11,137.1,100,-0.44,6033.2,4399.42,-37.1,0.4808,0.82599
MB0914c,Rv0890c,regulatory proteins,NA,NE,NE,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY LUXR-FAMILY),44,220.6,262.3,0.24,38819.6,46163.97,41.7,0.5555,0.87398
MB0915c,Rv0891c,regulatory proteins,NA,NE,NE,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN,24,156.6,72.5,-1.06,15034.3,6964.08,-84.1,0.0823,0.46181
MB0916,Rv0892,intermediary metabolism and respiration,NA,NE,NE,PROBABLE MONOOXYGENASE,40,16.9,15.5,-0.09,2698,2475.76,-1.4,0.8952,1
MB0917c,Rv0893c,lipid metabolism,NA,NE,GD,possible s-adenosylmethionine-dependent methyltransferase,21,52.7,5.5,-2.46,4426.2,459.3,-47.2,0.0484,0.37362
MB0918,Rv0894,regulatory proteins,NA,NE,NE,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY LUXR-FAMILY),15,32.6,43.1,0.36,1953.1,2584.76,10.5,0.6954,0.96991
MB0919,Rv0895,lipid metabolism,NA,NE,NE,possible triacylglycerol synthase (diacylglycerol acyltransferase),25,100.4,369.7,1.83,10043.9,36967.68,269.2,0.0105,0.20607
MB0920,Rv0896,intermediary metabolism and respiration,gltA2,NE,GD,PROBABLE CITRATE SYNTHASE I GLTA2,24,15.5,9.7,-0.48,1486.9,934.99,-5.7,0.5812,0.89424
MB0921c,Rv0897c,intermediary metabolism and respiration,NA,NE,NE,PROBABLE OXIDOREDUCTASE,19,105.9,157.9,0.55,8051.7,12002.37,52,0.3493,0.746
MB0922c,Rv0898c,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,1,17.8,1381.4,5.93,71.2,5525.61,1363.6,0.053900000000000003,0.39003
MB0923,Rv0899,cell wall and cell processes,ompA,NE,NE,outer membrane protein a ompa,17,31.5,12.8,-1.03,2138.8,873.61,-18.6,0.0948,0.48078
MB0924,Rv0900,cell wall and cell processes,NA,NE,NE,POSSIBLE MEMBRANE PROTEIN,2,28,38.1,0.39,224.1,304.89,10.1,0.7314,0.99748
MB0925,Rv0901,cell wall and cell processes,NA,NE,NE,POSSIBLE CONSERVED EXPORTED OR MEMBRANE PROTEIN,9,94.5,185.7,0.94,3400.6,6683.42,91.2,0.2941,0.69978
MB0926c,Rv0902c,regulatory proteins,prrB,ES,ES,TWO COMPONENT SENSOR HISTIDINE KINASE PRRB,13,2.5,0.4,-0.48,131.4,19.81,-2.1,0.2281,0.64246
MB0927c,Rv0903c,regulatory proteins,prrA,NE,NE,TWO COMPONENT RESPONSE TRANSCRIPTIONAL REGULATORY PROTEIN PRRA,10,10.8,4.3,-0.77,433.5,170.69,-6.6,0.3732,0.76285
MB0928c,Rv0904c,lipid metabolism,accD3,NE,NE,PUTATIVE ACETYL-COENZYME A CARBOXYLASE CARBOXYL TRANSFERASE (SUBUNIT BETA) ACCD3 (ACCASE BETA CHAIN),20,30.8,90.2,1.41,2464.1,7218.53,59.4,0.0569,0.3982
MB0929,Rv0905,lipid metabolism,echA6,NE,NE,POSSIBLE ENOYL-COA HYDRATASE ECHA6 (ENOYL HYDRASE) (UNSATURATED ACYL-COA HYDRATASE) (CROTONASE),7,79.7,303.2,1.86,2231.9,8489.4,223.5,0.2569,0.65904
MB0930,Rv0906,conserved hypotheticals,NA,NE,NE,Outer membrane protein romA,12,98.8,462.2,2.17,4741.1,22184.47,363.4,0.1289,0.5166
MB0931,Rv0907,cell wall and cell processes,NA,NE,ES,Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily / DUF3471 domain,35,32,24.4,-0.33,4484,3418.43,-7.6,0.6529,0.94167
MB0932,Rv0908,cell wall and cell processes,ctpE,NE,NE,PROBABLE METAL CATION TRANSPORTER ATPASE P-TYPE CTPE,27,72.1,110.8,0.59,7787.2,11968.68,38.7,0.4191,0.78675
MB0933,Rv0909,conserved hypotheticals,NA,NE,NE,Antitoxin Rv0909,2,223.4,106.1,-1.04,1787.4,848.42,-117.4,0.169,0.58546
MB0934,Rv0910,conserved hypotheticals,NA,NE,NE,Toxin Rv0910,6,56.6,76.8,0.41,1358.1,1843.17,20.2,0.6448,0.936
MB0935,Rv0911,conserved hypotheticals,NA,NE,NE,Putative hydroxylase,15,68,89.1,0.37,4079.8,5344.33,21.1,0.6336,0.92859
MB0936,Rv0912,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,4,101,9.4,-2.88,1615.9,149.67,-91.6,0.0365,0.33392
MB0937c,Rv0913c,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE DIOXYGENASE,40,17.7,13.4,-0.3,2827.4,2137.91,-4.3,0.5807,0.89415
MB0938c,Rv0914c,lipid metabolism,NA,NE,NE,POSSIBLE LIPID CARRIER PROTEIN OR KETO ACYL-COA THIOLASE,16,36,145,1.87,2302.3,9280.3,109,0.0244,0.29114
MB0939c,Rv0915c,PE/PPE,PPE14,NE,NE,ppe family protein ppe14,18,109.3,113.7,0.05,7869.5,8188.76,4.4,0.9131,1
MB0940c,Rv0916c,PE/PPE,PE7,NE,NE,pe family protein pe7,4,53.9,50.8,-0.08,862.4,812.79,-3.1,0.9135,1
MB0941,Rv0917,cell wall and cell processes,betP,NE,NE,POSSIBLE GLYCINE BETAINE TRANSPORT INTEGRAL MEMBRANE PROTEIN BETP,38,173.7,279.7,0.67,26403.6,42508.66,106,0.1566,0.56848
MB0942,Rv0918,conserved hypotheticals,NA,NE,NE,link to N-acetyltransferase activity,7,71.8,28.9,-1.18,2011,810.23,-42.9,0.2948,0.70063
MB0943,Rv0919,intermediary metabolism and respiration,NA,NE,NE,gcn5-related n-acetyltransferase,9,121.6,322,1.37,4376.4,11590.32,200.4,0.0827,0.46181
