ORF,Mtb_ortholog,functional_category,name,negative_call,positive_call,desc,sites,mean_ctrl,mean_exp,log2FC,sum_ctrl,sum_exp,delta_mean,pvalue,adj_pvalue
MB0456c,Rv0448c,conserved hypotheticals,NA,GA,NE,CONSERVED HYPOTHETICAL PROTEIN,16,591.3,276.8,-1.09,37841.4,17717.54,-314.4,0.0752,0.62281
MB0457c,Rv0449c,conserved hypotheticals,NA,GA,NE,"Amine oxidase, flavin-containing",22,373.1,286.6,-0.38,32831.5,25222.63,-86.5,0.3742,0.88985
MB0458c,Rv0450c,cell wall and cell processes,mmpL4,NE,NE,PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL4,78,80.8,67.9,-0.25,25196.6,21193.38,-12.8,0.6554,1
MB0459c,Rv0451c,cell wall and cell processes,mmpS4,NE,GD,PROBABLE CONSERVED MEMBRANE PROTEIN MMPS4,15,41.1,14.8,-1.41,2464.9,888.72,-26.3,0.1735,0.75382
MB0460,Rv0452,regulatory proteins,NA,NE,NE,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN,8,75.8,177.5,1.22,2425.5,5681.12,101.7,0.2058,0.79247
MB0461,Rv0453,PE/PPE,PPE11,NE,NE,ppe family protein ppe11,19,162.2,271.5,0.74,12323.8,20630.3,109.3,0.1074,0.67042
MB0462,Rv0454,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,6,208.9,358.1,0.77,5013.1,8594.27,149.2,0.4648,0.93536
MB0463c,Rv0455c,conserved hypotheticals,NA,NE,NE,putative membrane protein,10,58,3.3,-3.77,2321.6,132.54,-54.7,0.0024,0.24892
MB0464c,Rv0456c,lipid metabolism,echA2,NE,NE,ENOYL-COA HYDRATASE ECHA2 (ENOYL HYDRASE) (UNSATURATED ACYL-COA HYDRATASE) (CROTONASE),10,115.3,295.3,1.35,4613.1,11813.05,180,0.0199,0.43967
MB0465c,Rv0456A,"virulence, detoxification, adaptation",mazf1,NE,NE,possible toxin mazf1,4,342.7,724.2,1.08,5483.4,11587.62,381.5,0.2422,0.81029
MB0466A,Rv0456B,"virulence, detoxification, adaptation",mazE1,NE,NE,Possible antitoxin MazE1,2,841,579,-0.54,6727.8,4632.12,-262,0.5613,0.97612
MB0466c,Rv0457c,intermediary metabolism and respiration,NA,NE,NE,PROBABLE PEPTIDASE,35,208.3,125.9,-0.72,29156.9,17622.83,-82.4,0.157,0.74103
MB0467,Rv0458,intermediary metabolism and respiration,NA,NE,NE,PROBABLE ALDEHYDE DEHYDROGENASE,22,151.5,347.7,1.19,13329.3,30600.6,196.3,0.094,0.65462
MB0468,Rv0459,conserved hypotheticals,NA,NE,NE,related to oxidoreductase activity,5,88.9,76.1,-0.22,1778.9,1522.7,-12.8,0.8764,1
MB0469,Rv0460,conserved hypotheticals,NA,NE,NE,CONSERVED HYDROPHOBIC PROTEIN,3,111.9,92.5,-0.27,1342.6,1109.98,-19.4,0.8411,1
MB0470,Rv0461,cell wall and cell processes,NA,NE,NE,PROBABLE TRANSMEMBRANE PROTEIN,15,368.7,252.7,-0.54,22120,15160.86,-116,0.3391,0.87311
MB0471,Rv0462,intermediary metabolism and respiration,lpd,NE,NE,dihydrolipoamide dehydrogenase lpdc (lipoamide reductase (nadh)) (lipoyl dehydrogenase) (dihydrolipoyl dehydrogenase) (diaphorase),25,36,186.7,2.34,3601.3,18667.94,150.7,0.0099,0.38139
MB0472,Rv0463,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED MEMBRANE PROTEIN,3,1629.6,294.8,-2.46,19555,3537.57,-1334.8,0.0477,0.54465
MB0473c,Rv0464c,conserved hypotheticals,NA,NE,NE,conserved protein,12,184.6,208,0.17,8859.6,9985.94,23.5,0.7548,1
MB0474c,Rv0465c,regulatory proteins,NA,GA,NE,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN,27,584.5,293,-0.99,63121.6,31646.6,-291.4,0.0335,0.50562
MB0475,Rv0466,conserved hypotheticals,NA,GA,NE,Acyl-ACP thioesterase,7,345.6,345,-0,9676.5,9659.45,-0.6,0.9974,1
MB0476,Rv0467,intermediary metabolism and respiration,icl,NE,NE,ISOCITRATE LYASE ICL (ISOCITRASE) (ISOCITRATASE),17,536.4,592.9,0.14,36475.4,40314.96,56.5,0.8245,1
MB0477,Rv0468,lipid metabolism,fadB2,NE,NE,3-hydroxybutyryl-coa dehydrogenase fadb2 (beta-hydroxybutyryl-coa dehydrogenase) (bhbd),12,139.6,70.5,-0.98,6702.9,3385.65,-69.1,0.1409,0.72196
MB0478,Rv0469,lipid metabolism,umaA1,NE,NE,possible mycolic acid synthase umaa,24,109.7,59.8,-0.87,10528.5,5736.12,-49.9,0.2446,0.81029
MB0479c,Rv0470c,lipid metabolism,pcaA,NE,NE,MYCOLIC ACID SYNTHASE PCAA (CYCLOPROPANE SYNTHASE),12,387.4,327.1,-0.24,18596.4,15702.52,-60.3,0.645,1
MB0480c,Rv0470A,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,10,213.4,329.6,0.62,8537.6,13185.42,116.2,0.4165,0.91333
MB0481c,Rv0471c,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,11,383.5,268.7,-0.51,16875.5,11821.77,-114.9,0.2682,0.83068
MB0482c,Rv0472c,regulatory proteins,NA,NE,NE,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY),10,68.5,226.1,1.71,2738.4,9043.91,157.6,0.2721,0.83372
MB0483,Rv0473,cell wall and cell processes,NA,NE,NE,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN,15,419.5,119.1,-1.81,25172.5,7148.65,-300.4,0.0114,0.38272
MB0484,Rv0474,regulatory proteins,NA,NE,NE,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN,7,443.5,270.2,-0.71,12416.9,7565.66,-173.3,0.275,0.83372
MB0485,Rv0475,cell wall and cell processes,hbhA,NE,NE,iron-regulated heparin binding hemagglutinin hbha (adhesin),9,117.3,92,-0.35,4224.3,3312.42,-25.3,0.6447,1
MB0486,Rv0476,cell wall and cell processes,NA,NE,NE,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN,6,726,179,-2.01,17424.9,4295.45,-547.1,0.1885,0.77053
MB0487,Rv0477,cell wall and cell processes,NA,NE,NE,POSSIBLE CONSERVED SECRETED PROTEIN,5,343.2,650,0.92,6864.5,13000.55,306.8,0.4026,0.91126
MB0488,Rv0478,intermediary metabolism and respiration,deoC,NE,NE,PROBABLE DEOXYRIBOSE-PHOSPHATE ALDOLASE DEOC (PHOSPHODEOXYRIBOALDOLASE) (DEOXYRIBOALDOLASE),3,93.7,61.9,-0.59,1123.9,742.86,-31.8,0.5862,0.98588
MB0489c,Rv0479c,cell wall and cell processes,NA,ES,ES,PROBABLE CONSERVED MEMBRANE PROTEIN,11,0,5.7,2.74,0,249.37,5.7,0.4822,0.93536
MB0490c,Rv0480c,conserved hypotheticals,NA,NE,NE,possible amidohydrolase,16,97.1,93.5,-0.05,6212.3,5983.54,-3.6,0.9276,1
MB0491c,Rv0481c,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,12,301,95.7,-1.64,14450,4594.33,-205.3,0.0137,0.40161
MB0492,Rv0482,cell wall and cell processes,murB,ES,ES,PROBABLE UDP-N-ACETYLENOLPYRUVOYLGLUCOSAMINE REDUCTASE MURB (UDP-N-ACETYLMURAMATE DEHYDROGENASE),10,0.2,0,-0.3,9.1,0,-0.2,1,1
MB0493,Rv0483,cell wall and cell processes,lprQ,NE,NE,PROBABLE CONSERVED LIPOPROTEIN LPRQ,28,437.4,482.4,0.14,48992,54033.36,45,0.689,1
MB0494c,Rv0484c,intermediary metabolism and respiration,NA,NE,NE,probable short-chain type oxidoreductase,7,270.9,565.9,1.06,7584.4,15846.14,295.1,0.4125,0.91333
MB0495,Rv0485,regulatory proteins,NA,NE,NE,POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN,20,311.7,338.9,0.12,24934.9,27111.25,27.2,0.8649,1
MB0496,Rv0486,intermediary metabolism and respiration,msha,NE,NE,glycosyltransferase msha,13,175.2,169.7,-0.05,9112.1,8824.38,-5.5,0.9692,1
MB0497,Rv0487,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,9,347,191.1,-0.86,12492.3,6878.47,-155.9,0.1544,0.73936
MB0498,Rv0488,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN,9,132.3,94.1,-0.49,4762.7,3385.86,-38.2,0.4733,0.93536
MB0499,Rv0489,intermediary metabolism and respiration,gpm1,ES,NE,PROBABLE PHOSPHOGLYCERATE MUTASE 1 GPM1 (PHOSPHOGLYCEROMUTASE) (PGAM) (BPG-DEPENDENT PGAM),11,0,0,0,0,0,0,1,1
MB0500,Rv0490,regulatory proteins,senX3,NE,NE,PUTATIVE TWO COMPONENT SENSOR HISTIDINE KINASE SENX3,14,144.7,127.6,-0.18,8105.3,7143.85,-17.2,0.7754,1
MB0501,Rv0491,regulatory proteins,regX3,NE,NE,TWO COMPONENT SENSORY TRANSDUCTION PROTEIN REGX3 (TRANSCRIPTIONAL REGULATORY PROTEIN) (PROBABLY LUXR-FAMILY),6,562.6,718.8,0.35,13503.3,17250.21,156.1,0.6283,1
MB0502c,Rv0492c,intermediary metabolism and respiration,NA,NE,NE,PROBABLE OXIDOREDUCTASE GMC-TYPE,16,288,449.6,0.64,18429.5,28771.9,161.6,0.409,0.91333
MB0503c,Rv0492A,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,5,97,245.9,1.33,1940.6,4918.67,148.9,0.2403,0.81029
MB0504c,Rv0493c,conserved hypotheticals,NA,NE,NE,conserved protein,16,302.2,165.7,-0.86,19343.6,10604.37,-136.5,0.1326,0.70482
MB0505,Rv0494,regulatory proteins,NA,NE,NE,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY),7,128.3,191.6,0.57,3593.2,5364.8,63.3,0.5827,0.98325
MB0506c,Rv0495c,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,13,94.2,101.4,0.1,4900.1,5271.58,7.1,0.8944,1
MB0507,Rv0496,conserved hypotheticals,ppx1,NE,NE,Exopolyphosphatase (EC 3.6.1.11),7,63.3,82.2,0.37,1771.4,2301.01,18.9,0.7322,1
MB0508,Rv0497,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,12,59.4,87.7,0.55,2852.2,4211.4,28.3,0.6927,1
MB0509,Rv0498,conserved hypotheticals,NA,NE,NE,"AP endonuclease, family protein 2",10,215.1,390.1,0.86,8603.8,15604.12,175,0.183,0.76364
MB0510,Rv0499,conserved hypotheticals,NA,NE,NE,TesB-like acyl-CoA thioesterase 3,5,294.9,127.1,-1.21,5897.1,2542.48,-167.7,0.2153,0.79792
MB0511,Rv0500,intermediary metabolism and respiration,proC,GD,ES,PROBABLE PYRROLINE-5-CARBOXYLATE REDUCTASE PROC (P5CR) (P5C REDUCTASE),13,2.2,0,-1.66,112.7,0,-2.2,1,1
MB0512,Rv0500A,conserved hypotheticals,NA,NE,NE,Excisionase-like protein SCO3328,3,48,100.1,1.05,575.6,1200.7,52.1,0.4191,0.91333
MB0512A,Rv0500B,conserved hypotheticals,NA,NE,NE,30S small ribosomal subunit,1,234.5,769.4,1.71,938.1,3077.58,534.9,0.6643,1
MB0513,Rv0501,intermediary metabolism and respiration,galE2,NE,NE,POSSIBLE UDP-GLUCOSE 4-EPIMERASE GALE2 (GALACTOWALDENASE) (UDP-GALACTOSE 4-EPIMERASE) (URIDINE DIPHOSPHATE GALACTOSE 4-EPIMERASE) (URIDINE DIPHOSPHO-GALACTOSE 4-EPIMERASE),23,288.1,286.9,-0.01,26503.3,26392.79,-1.2,0.9926,1
MB0514,Rv0502,conserved hypotheticals,NA,NE,NE,Phospholipid/glycerol acyltransferase,16,393.1,656.4,0.74,25158.1,42012.46,263.3,0.1868,0.77053
MB0515c,Rv0503c,lipid metabolism,cmaA2,NE,NE,CYCLOPROPANE-FATTY-ACYL-PHOSPHOLIPID SYNTHASE 2 CMAA2 (CYCLOPROPANE FATTY ACID SYNTHASE) (CFA SYNTHASE) (CYCLOPROPANE MYCOLIC ACID SYNTHASE 2) (MYCOLIC ACID TRANS-CYCLOPROPANE SYNTHETASE),20,410.4,408.1,-0.01,32828.5,32649.78,-2.2,0.9852,1
MB0516c,Rv0504c,conserved hypotheticals,NA,NE,GD,UPF0336 protein,7,0,0,0,0,0,0,1,1
MB0517c,Rv0505c,intermediary metabolism and respiration,serB1,ES,GD,POSSIBLE PHOSPHOSERINE PHOSPHATASE SERB1 (PSP) (O-PHOSPHOSERINE PHOSPHOHYDROLASE) (PSPASE),18,71.7,56.1,-0.35,5163,4036.5,-15.6,0.8365,1
MB0518,Rv0506,cell wall and cell processes,mmpS2,NE,NE,PROBABLE CONSERVED MEMBRANE PROTEIN MMPS2,6,599.7,320.6,-0.9,14393.7,7693.39,-279.2,0.1276,0.697
MB0519,Rv0507,cell wall and cell processes,mmpL2,NE,NE,PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL2,73,120.4,111.1,-0.11,35157.3,32442.19,-9.3,0.7842,1
MB0520,Rv0508,conserved hypotheticals,NA,NE,NE,Glutaredoxin-like domain-containing protein PA3033,7,297.5,472.7,0.67,8328.6,13235.65,175.3,0.515,0.94475
MB0521,Rv0509,intermediary metabolism and respiration,hemA,ES,ES,probable glutamyl-trna reductase hema (glutr),20,0,0,0,0,0,0,1,1
MB0523,Rv0510,intermediary metabolism and respiration,hemC,ES,ES,PROBABLE PORPHOBILINOGEN DEAMINASE HEMC (PBG) (HYDROXYMETHYLBILANE SYNTHASE) (HMBS) (PRE-UROPORPHYRINOGEN SYNTHASE),11,0,0,0,0,0,0,1,1
MB0524,Rv0511,intermediary metabolism and respiration,hemD,ES,ES,PROBABLE UROPORPHYRIN-III C-METHYLTRANSFERASE HEMD (UROPORPHYRINOGEN III METHYLASE) (UROGEN III METHYLASE) (SUMT) (UROGEN III METHYLASE) (UROM),17,0,0,0,0,0,0,1,1
MB0525,Rv0512,intermediary metabolism and respiration,hemB,ES,ES,PROBABLE DELTA-AMINOLEVULINIC ACID DEHYDRATASE HEMB (PORPHOBILINOGEN SYNTHASE) (ALAD) (ALADH),20,1.2,0,-1.08,95.6,2.95,-1.2,0.3709,0.88761
MB0526,Rv0513,cell wall and cell processes,NA,NE,NE,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN,7,30.6,15.6,-0.93,858.2,438.01,-15,0.5565,0.97237
MB0527,Rv0514,cell wall and cell processes,NA,NE,NE,POSSIBLE TRANSMEMBRANE PROTEIN,1,583,136.5,-2.09,2331.9,546.14,-446.4,0.1684,0.74813
MB0528,Rv0515,insertion seqs and phages,NA,NE,NE,CONSERVED 13E12 REPEAT FAMILY PROTEIN,18,393.7,392.4,-0,28345.6,28252.91,-1.3,0.9899,1
MB0529c,Rv0516c,information pathways,NA,NE,NE,possible anti-anti-sigma factor,9,226.3,295.8,0.38,8145.6,10647.66,69.5,0.835,1
MB0530,Rv0517,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE MEMBRANE ACYLTRANSFERASE,21,295.9,225.2,-0.39,24852.3,18916.53,-70.7,0.3012,0.85369
MB0531,Rv0518,cell wall and cell processes,NA,NE,NE,POSSIBLE EXPORTED PROTEIN,12,343.5,521,0.6,16487.1,25007.79,177.5,0.4986,0.93536
MB0532c,Rv0519c,cell wall and cell processes,NA,NE,NE,POSSIBLE CONSERVED MEMBRANE PROTEIN,9,485.4,157.9,-1.61,17474.6,5684.67,-327.5,0.0103,0.38223
MB0533,Rv0520,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE METHYLTRANSFERASE/METHYLASE (FRAGMENT),5,272.3,243.4,-0.16,5445.8,4868.45,-28.9,0.8438,1
MB0534,Rv0521,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE METHYLTRANSFERASE/METHYLASE (FRAGMENT),4,94.3,157.2,0.73,1508.5,2514.73,62.9,0.4388,0.91966
MB0535,Rv0522,cell wall and cell processes,gabP,NE,NE,PROBABLE GABA PERMEASE GABP (4-AMINO BUTYRATE TRANSPORT CARRIER) (GAMA-AMINOBUTYRATE PERMEASE),21,183.2,233.3,0.35,15389.8,19594.51,50.1,0.5697,0.98061
MB0536c,Rv0523c,conserved hypotheticals,NA,NE,NE,conserved protein,9,147.3,419.9,1.51,5302,15115.19,272.6,0.1642,0.7474
MB0537,Rv0524,intermediary metabolism and respiration,hemL,ES,ES,"PROBABLE GLUTAMATE-1-SEMIALDEHYDE 2,1-AMINOMUTASE HEML (GSA) (GLUTAMATE-1-SEMIALDEHYDE AMINOTRANSFERASE) (GSA-AT)",19,0,0,0,0,0,0,1,1
MB0538,Rv0525,conserved hypotheticals,NA,ES,ES,"Hypothetical, related to broad specificity phosphatases COG0406",9,11.7,0.5,-3.04,421.1,19.56,-11.2,0.3741,0.88985
MB0539,Rv0526,intermediary metabolism and respiration,NA,ES,ES,POSSIBLE THIOREDOXIN PROTEIN (THIOL-DISULFIDE INTERCHANGE PROTEIN),6,0,0.3,0.4,0,7.57,0.3,1,1
MB0540,Rv0527,intermediary metabolism and respiration,ccdA,ES,ES,POSSIBLE CYTOCHROME C-TYPE BIOGENESIS PROTEIN CCDA,5,0,0.4,0.46,0,7.43,0.4,1,1
MB0541,Rv0528,cell wall and cell processes,NA,ES,ES,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,16,0,0,0,0,0,0,1,1
MB0542,Rv0529,intermediary metabolism and respiration,ccsA,ES,ES,POSSIBLE CYTOCHROME C-TYPE BIOGENESIS PROTEIN CCSA,14,0,0,0,0,0,0,1,1
MB0543,Rv0530,conserved hypotheticals,NA,NE,NE,ATPases involved in chromosome partitioning,15,251.2,163.2,-0.62,15071.8,9794.78,-88,0.3169,0.86593
MB0543A,Rv0530A,conserved hypotheticals,NA,NE,NE,Conserved protein,3,298.6,118,-1.33,3583.4,1415.6,-180.7,0.1482,0.73195
MB0544,Rv0531,cell wall and cell processes,NA,NE,NE,POSSIBLE CONSERVED MEMBRANE PROTEIN,3,3.3,0.2,-1.81,40,2.77,-3.1,1,1
MB0545,Rv0532,PE/PPE,PE_PGRS6a,NE,NE,PE-PGRS FAMILY PROTEIN [FIRST PART],12,137.2,161.5,0.23,6585.5,7752.2,24.3,0.7947,1
MB0546,Rv0532,PE/PPE,PE_PGRS6b,NE,NE,PE-PGRS FAMILY PROTEIN [SECOND PART],2,64.5,2.2,-4.33,515.8,17.95,-62.2,0.1553,0.73992
MB0547c,Rv0533c,lipid metabolism,fabH,NE,NE,3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE III FABH (BETA-KETOACYL-ACP SYNTHASE III) (KAS III),14,438.1,122.5,-1.83,24534.5,6860.31,-315.6,0.0096,0.37727
MB0548c,Rv0534c,intermediary metabolism and respiration,menA,NE,NE,"1,4-DIHYDROXY-2-NAPHTHOATE OCTAPRENYLTRANSFERASE MENA (DHNA-OCTAPRENYLTRANSFERASE)",10,8.3,0.1,-3.11,331.2,3.14,-8.2,0.1306,0.70024
MB0549,Rv0535,intermediary metabolism and respiration,pnp,NE,NE,PROBABLE 5'-METHYLTHIOADENOSINE PHOSPHORYLASE PNP (MTA PHOSPHORYLASE),8,121.3,346,1.5,3880.8,11071.87,224.7,0.0952,0.65462
MB0550,Rv0536,intermediary metabolism and respiration,galE3,NE,NE,PROBABLE UDP-GLUCOSE 4-EPIMERASE GALE3 (GALACTOWALDENASE) (UDP-GALACTOSE 4-EPIMERASE) (URIDINE DIPHOSPHATE GALACTOSE 4-EPIMERASE) (URIDINE DIPHOSPHO-GALACTOSE 4-EPIMERASE),12,133.3,120.4,-0.15,6397.1,5779.02,-12.9,0.9382,1
MB0551c,Rv0537c,cell wall and cell processes,NA,NE,NE,PROBABLE INTEGRAL MEMBRANE PROTEIN,17,172.6,206.2,0.26,11737.9,14021.09,33.6,0.7021,1
MB0552,Rv0538,cell wall and cell processes,NA,NE,NE,POSSIBLE CONSERVED MEMBRANE PROTEIN,13,71.4,205,1.51,3711.7,10660.5,133.6,0.2586,0.8134
MB0553,Rv0539,intermediary metabolism and respiration,NA,NE,NE,PROBABLE DOLICHYL-PHOSPHATE SUGAR SYNTHASE (DOLICHOL-PHOSPHATE SUGAR SYNTHETASE) (DOLICHOL-PHOSPHATE SUGAR TRANSFERASE) (SUGAR PHOSPHORYLDOLICHOL SYNTHASE),4,89.7,35,-1.34,1435.5,559.21,-54.8,0.2985,0.85207
MB0554,Rv0540,conserved hypotheticals,NA,NE,GD,cell wall biogenesis,9,51,12.7,-1.92,1835.8,458.48,-38.3,0.1069,0.67042
MB0555c,Rv0541c,cell wall and cell processes,NA,GD,GD,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN,15,1.7,9.2,1.92,101.6,552.29,7.5,0.8668,1
MB0556c,Rv0542c,intermediary metabolism and respiration,menE,NE,NE,POSSIBLE O-SUCCINYLBENZOIC ACID--COA LIGASE MENE (OSB-COA SYNTHETASE) (O-SUCCINYLBENZOATE-COA SYNTHASE),13,9.1,10.7,0.2,474.5,554.24,1.5,0.8554,1
MB0557c,Rv0543c,conserved hypotheticals,NA,NE,NE,conserved protein,0,0,0,0,0,0,0,1,1
MB0558c,Rv0544c,cell wall and cell processes,NA,NE,NE,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN,6,552.2,169.6,-1.7,13251.6,4070.26,-382.6,0.1329,0.70549
MB0559c,Rv0545c,cell wall and cell processes,pitA,NE,NE,PROBABLE LOW-AFFINITY INORGANIC PHOSPHATE TRANSPORTER INTEGRAL MEMBRANE PROTEIN PITA,11,242.7,222.6,-0.12,10678.5,9792.45,-20.1,0.9019,1
MB0560c,Rv0546c,conserved hypotheticals,NA,NE,NE,Lactoylglutathione lyase and related lyases,7,242.6,370.8,0.61,6791.8,10382.36,128.2,0.3769,0.8926
MB0561c,Rv0547c,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE OXIDOREDUCTASE,10,489.7,347.6,-0.49,19589.4,13903.03,-142.2,0.4129,0.91333
MB0562c,Rv0548c,intermediary metabolism and respiration,menB,NE,NE,naphthoate synthase menb (dihydroxynaphthoic acid synthetase) (dhna synthetase),12,0.2,11.9,3.36,11.9,568.95,11.6,0.0329,0.5003
MB0563c,Rv0549c,conserved hypotheticals,vapc3,NE,NE,CONSERVED HYPOTHETICAL PROTEIN [SECOND PART],1,27.5,210.4,2.89,109.8,841.52,182.9,0.671,1
MB0564c,Rv0549c,conserved hypotheticals,vapc3,NE,NE,CONSERVED HYPOTHETICAL PROTEIN [FIRST PART],3,228.2,37.1,-2.59,2738.8,444.76,-191.2,0.1126,0.68082
MB0565c,Rv0550c,"virulence, detoxification, adaptation",vapb3,NE,NE,possible antitoxin vapb3,3,421.8,481.1,0.19,5061.8,5773.25,59.3,0.7935,1
MB0566c,Rv0551c,lipid metabolism,fadD8,NE,NE,PROBABLE FATTY-ACID-COA LIGASE FADD8 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE),30,127.4,143.4,0.17,15291.5,17213.84,16,0.7589,1
MB0567,Rv0552,conserved hypotheticals,NA,NE,NE,Exoenzymes regulatory protein AepA precursor,17,181.2,164.4,-0.14,12322.6,11180.94,-16.8,0.8521,1
MB0568,Rv0553,intermediary metabolism and respiration,menC,NE,NE,"PROBABLE MUCONATE CYCLOISOMERASE MENC (CIS,CIS-MUCONATE LACTONIZING ENZYME) (MLE)",11,11.6,23.5,0.96,509.2,1035.84,12,0.3718,0.8878
MB0569,Rv0554,"virulence, detoxification, adaptation",bpoC,NE,NE,POSSIBLE PEROXIDASE BPOC (NON-HAEM PEROXIDASE),13,181.8,138.5,-0.39,9454.1,7201.35,-43.3,0.7811,1
MB0570,Rv0555,intermediary metabolism and respiration,menD,ES,ES,"PROBABLE BIFUNCTIONAL MENAQUINONE BIOSYNTHESIS PROTEIN MEND : 2-SUCCINYL-6-HYDROXY-2,4-CYCLOHEXADIENE-1-CARBOXYLATE SYNTHASE (SHCHC SYNTHASE) + 2-OXOGLUTARATE DECARBOXYLASE (ALPHA-KETOGLUTARATE DECARBOXYLASE) (KDC)",13,0.1,0,-0.11,6.8,2.48,-0.1,0.7484,1
MB0571,Rv0556,cell wall and cell processes,NA,ES,ES,PROBABLE CONSERVED TRANSMEMBRANE PROTEIN,13,0,0,0,0,0,0,1,1
MB0572,Rv0557,lipid metabolism,mgta,GD,GD,mannosyltransferase mgta,14,14.2,39.1,1.4,795.6,2191.76,24.9,0.2441,0.81029
MB0573,Rv0558,intermediary metabolism and respiration,menH,GD,ES,"PROBABLE UBIQUINONE/MENAQUINONE BIOSYNTHESIS METHYLTRANSFERASE MENH (2-heptaprenyl-1,4-naphthoquinone methyltransferase)",14,0,0.1,0.1,0,4.14,0.1,0.4837,0.93536
MB0574c,Rv0559c,cell wall and cell processes,NA,NE,NE,POSSIBLE CONSERVED SECRETED PROTEIN,6,199.5,313.6,0.65,4788.9,7527.1,114.1,0.5324,0.95122
MB0575c,Rv0560c,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE BENZOQUINONE METHYLTRANSFERASE (METHYLASE),14,40.1,62.5,0.63,2246.4,3501.15,22.4,0.416,0.91333
MB0576c,Rv0561c,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE OXIDOREDUCTASE,17,141.7,20,-2.77,9637.8,1356.74,-121.8,0.0013,0.17528
MB0577,Rv0562,intermediary metabolism and respiration,grcC1,ES,ES,PROBABLE POLYPRENYL-DIPHOSPHATE SYNTHASE GRCC1 (POLYPRENYL PYROPHOSPHATE SYNTHETASE),13,0.2,0,-0.23,11.8,2.48,-0.2,1,1
MB0578,Rv0563,"virulence, detoxification, adaptation",htpX,NE,NE,PROBABLE PROTEASE TRANSMEMBRANE PROTEIN HEAT SHOCK PROTEIN HTPX,11,66.5,177.1,1.4,2925.4,7794.13,110.7,0.0713,0.62281
MB0579c,Rv0564c,lipid metabolism,gpdA1,NE,NE,PROBABLE GLYCEROL-3-PHOSPHATE DEHYDROGENASE [NAD(P)+] GPDA1 (NAD(P)H-DEPENDENT GLYCEROL-3-PHOSPHATE DEHYDROGENASE) (NAD(P)H-DEPENDENT DIHYDROXYACETONE-PHOSPHATE REDUCTASE),10,275.1,65.9,-2.05,11005,2635,-209.2,0.0038,0.27676
MB0580c,Rv0565c,intermediary metabolism and respiration,NA,NE,NE,PROBABLE MONOOXYGENASE,35,195.9,299.9,0.61,27423.5,41979.46,104,0.3334,0.87261
MB0581c,Rv0566c,conserved hypotheticals,NA,NE,NE,UPF0234 protein Yitk,5,320.1,566.8,0.82,6402.2,11335.3,246.7,0.4338,0.91678
MB0582,Rv0567,intermediary metabolism and respiration,NA,NE,NE,PROBABLE METHYLTRANSFERASE/METHYLASE,18,206.8,445.3,1.1,14888.8,32061.23,238.5,0.2188,0.79792
MB0583,Rv0568,intermediary metabolism and respiration,cyp135B1,NE,NE,POSSIBLE CYTOCHROME P450 135B1 CYP135B1,10,99.3,459.5,2.2,3970.3,18378.43,360.2,0.0359,0.52007
MB0584,Rv0569,conserved hypotheticals,NA,NE,NE,conserved protein,3,195.8,78.6,-1.31,2350,943.14,-117.2,0.3704,0.8876
