#utest
#Console: python3 /Users/jenniferstiens/anaconda3/envs/python38/bin/transit utest output/permissive_wigs/perm_B1_insertions.wig,output/permissive_wigs/perm_D1_insertions.wig,output/permissive_wigs/perm_B2_insertions.wig,output/permissive_wigs/perm_D2_insertions.wig output/permissive_wigs/perm_A1_insertions.wig,output/permissive_wigs/perm_C1_insertions.wig,output/permissive_wigs/perm_A2_insertions.wig,output/permissive_wigs/perm_C2_insertions.wig ref_seqs/Mbovis_LT708304.prot_table output/utest_all_perm_ttr.tsv -n TTR
#Control Data: b'output/permissive_wigs/perm_B1_insertions.wig,output/permissive_wigs/perm_D1_insertions.wig,output/permissive_wigs/perm_B2_insertions.wig,output/permissive_wigs/perm_D2_insertions.wig'
#Experimental Data: b'output/permissive_wigs/perm_A1_insertions.wig,output/permissive_wigs/perm_C1_insertions.wig,output/permissive_wigs/perm_A2_insertions.wig,output/permissive_wigs/perm_C2_insertions.wig'
#Annotation path: b'ref_seqs/Mbovis_LT708304.prot_table'
#Time: 8.193161964416504
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	U-Statistic	p-value	Adj. p-value
MB0817	NA	possible monooxygenase	7	211.8	408.0	0.95	452.00	0.31645	0.66697
MB0818c	NA	PROBABLE OXIDOREDUCTASE [SECOND PART]	9	59.5	3.1	-4.25	251.00	0.08255	0.35261
MB0819c	NA	PROBABLE OXIDOREDUCTASE [FIRST PART]	9	177.9	141.1	-0.33	779.00	0.12702	0.43802
MB0820	NA	PUTATIVE TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1547	11	240.3	119.6	-1.01	905.00	0.60065	0.88867
MB0821c	cfp29	29 KDa ANTIGEN CFP29	14	148.5	112.3	-0.40	808.00	0.93700	1.00000
MB0822c	NA	Predicted dye-decolorizing peroxidase (DyP), encapsulated subgroup	9	100.5	171.9	0.77	507.00	0.94460	1.00000
MB0823	pepC	PROBABLE AMINOPEPTIDASE PEPC	13	115.8	39.1	-1.57	1239.50	0.01457	0.15757
MB0824	NA	Glyoxalase family protein	1	1030.4	228.5	-2.17	10.00	0.68571	0.94970
MB0825c	NA	possible succinyltransferase in the gcn5-related n-acetyltransferase family	13	147.6	143.2	-0.04	1140.50	0.10166	0.39425
MB0826	purL	PHOSPHORIBOSYLFORMYLGLYCINAMIDINE SYNTHASE II PURL (FGAM SYNTHASE II)	31	73.7	0.0	-6.22	12.00	0.18588	0.51604
MB0827	NA	Integral membrane protein	6	251.6	301.5	0.26	296.50	0.86225	1.00000
MB0828	NA	class iii cyclic nucleotide phosphodiesterase (cnmp pde)	16	336.6	625.5	0.89	1461.50	0.46919	0.78599
MB0829c	cpsY	POSSIBLE UDP-GLUCOSE-4-EPIMERASE CPSY (GALACTOWALDENASE) (UDP-GALACTOSE-4-EPIMERASE) (URIDINE DIPHOSPHATE GALACTOSE-4-EPIMERASE) (URIDINE DIPHOSPHO-GALACTOSE-4-EPIMERASE)	38	229.7	260.3	0.18	9721.00	0.08764	0.36154
MB0830	NA	CONSERVED HYPOTHETICAL PROTEIN	1	13.0	881.3	6.08	6.00	0.64455	0.92297
MB0831	purF	amidophosphoribosyltransferase purf (glutamine phosphoribosylpyrophosphate amidotransferase) (atase) (gpatase)	24	88.4	75.0	-0.24	141.50	0.57315	0.86798
MB0832	purM	PROBABLE PHOSPHORIBOSYLFORMYLGLYCINAMIDINE CYCLO-LIGASE PURM (AIRS) (PHOSPHORIBOSYL-AMINOIMIDAZOLE SYNTHETASE) (AIR SYNTHASE)	13	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0833c	NA	CONSERVED HYPOTHETICAL PROTEIN	3	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0834c	NA	tRNA-modifying protein YgfZ	16	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0835	NA	PROBABLE AMINO ACID AMINOTRANSFERASE	16	171.4	226.1	0.40	1829.00	0.10089	0.39270
MB0836c	NA	DUF1794	13	126.4	81.1	-0.64	1604.00	0.09150	0.36864
MB0837c	sseC2	Sulfur metabolism protein SseC	3	759.7	2561.7	1.75	76.00	0.83790	1.00000
MB0838c	cysA2	PROBABLE THIOSULFATE SULFURTRANSFERASE CYSA2 (RHODANESE-LIKE PROTEIN) (THIOSULFATE CYANIDE TRANSSULFURASE) (THIOSULFATE THIOTRANSFERASE)	15	360.3	418.4	0.22	1874.50	0.69657	0.95811
MB0839c	thiX	PROBABLE THIOREDOXIN THIX	2	82.8	221.4	1.42	7.00	0.88571	1.00000
MB0840c	NA	PROBABLE CONSERVED EXPORTED PROTEIN	16	0.0	183.7	7.53	0.00	0.02107	0.18214
MB0841	NA	TRANSCRIPTIONAL REGULATORY PROTEIN	11	308.4	145.0	-1.09	845.00	0.02571	0.20585
MB0842	mshD	gcn5-related n-acetyltransferase, mshd	11	112.2	81.3	-0.47	1073.50	0.34890	0.69935
MB0843	phoT	PROBABLE PHOSPHATE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER PHOT	11	43.2	118.5	1.46	736.00	0.49717	0.80636
MB0844c	phoY2	PROBABLE PHOSPHATE-TRANSPORT SYSTEM TRANSCRIPTIONAL REGULATORY PROTEIN PHOY2	6	273.6	203.4	-0.43	226.00	0.47855	0.79482
MB0845c	NA	Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1	27	284.3	268.7	-0.08	6463.50	0.15373	0.47906
MB0846c	NA	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN	13	523.0	485.7	-0.11	1316.00	0.22767	0.56251
MB0847c	desA1	PROBABLE ACYL-[ACYL-CARRIER PROTEIN] DESATURASE DESA1 (ACYL-[ACP] DESATURASE) (STEAROYL-ACP DESATURASE) (PROTEIN DES)	19	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0848c	NA	Transcriptional regulator, AcrR family	10	106.9	49.5	-1.11	996.00	0.03208	0.23009
MB0849	NA	CONSERVED HYPOTHETICAL PROTEIN	21	356.1	495.3	0.48	3285.50	0.76830	1.00000
MB0850c	kmtr	metal sensor transcriptional regulator kmtr (arsr-smtb family)	7	152.8	33.1	-2.21	456.00	0.22467	0.56014
MB0851c	NA	POSSIBLE DEAMINASE	10	484.2	944.2	0.96	659.00	0.90358	1.00000
MB0852	NA	possible transposase (fragment)	4	99.2	187.5	0.92	93.00	0.19006	0.52189
MB0853	NA	possible s-adenosylmethionine-dependent methyltransferase	19	386.3	204.2	-0.92	3504.50	0.00019	0.02048
MB0854c	NA	conserved protein	19	247.7	449.3	0.86	2554.00	0.87834	1.00000
MB0855	PE_PGRS12	pe-pgrs family protein pe_pgrs12	3	164.7	303.2	0.88	64.00	0.66363	0.93761
MB0856	PE_PGRS13	pe-pgrs family protein pe_pgrs13	5	19.8	57.3	1.53	199.00	0.98759	1.00000
MB0857c	PE_PGRS14	pe-pgrs family protein pe_pgrs14	21	111.2	145.6	0.39	2759.00	0.47563	0.79283
MB0858	lpqQ	POSSIBLE LIPOPROTEIN LPQQ	11	145.0	201.4	0.47	818.00	0.85920	1.00000
MB0859c	NA	HYPOTHETICAL PROTEIN	9	244.9	491.2	1.00	529.00	0.17384	0.50666
MB0860c	NA	HYPOTHETICAL PROTEIN	21	275.7	271.8	-0.02	3139.00	0.33004	0.68251
MB0861	lpqR	PROBABLE CONSERVED LIPOPROTEIN LPQR	7	314.8	76.3	-2.04	452.00	0.27970	0.63086
MB0862	NA	SAM-dependent methyltransferase	13	257.3	129.3	-0.99	1350.00	0.13179	0.44609
MB0863c	pip	PROBABLE PROLINE IMINOPEPTIDASE PIP (PROLYL AMINOPEPTIDASE) (PAP)	8	162.7	364.3	1.16	365.00	0.65779	0.93223
MB0864	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	3	0.0	6.0	2.80	20.00	0.07645	0.33870
MB0865	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN	20	247.6	120.4	-1.04	2044.00	0.14654	0.46853
MB0866	NA	PROBABLE DEHYDROGENASE	14	137.4	176.0	0.36	1782.00	0.18735	0.51870
MB0867c	narL	POSSIBLE NITRATE/NITRITE RESPONSE TRANSCRIPTIONAL REGULATORY PROTEIN NARL	9	374.7	308.6	-0.28	841.00	0.02677	0.20791
MB0868	NA	POSSIBLE TWO COMPONENT SENSOR KINASE	27	130.8	85.0	-0.62	4727.00	0.13168	0.44609
MB0869c	NA	PROBABLE OXIDASE	25	54.0	145.6	1.43	3480.00	0.86362	1.00000
MB0870	lpqS	PROBABLE LIPOPROTEIN LPQS	5	53.0	120.7	1.19	177.00	0.52650	0.83353
MB0871	cysK2	POSSIBLE CYSTEINE SYNTHASE A CYSK2 (O-ACETYLSERINE SULFHYDRYLASE) (O-ACETYLSERINE (THIOL)-LYASE) (CSASE)	26	88.1	210.0	1.25	2381.00	0.73449	0.98118
MB0872	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN	21	86.2	95.6	0.15	3557.00	0.16568	0.49789
MB0873	NA	PUTATIVE TRANSPOSASE (FRAGMENT)	6	112.6	16.8	-2.75	246.00	0.12897	0.44061
MB0874c	NA	probable short-chain type dehydrogenase/reductase	7	23.3	162.3	2.80	316.00	0.17459	0.50734
MB0875	fadD16	POSSIBLE FATTY-ACID-COA LIGASE FADD16 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-COA SYNTHASE)	13	65.3	16.2	-2.01	691.00	0.60174	0.88963
MB0876c	pdc	PROBABLE PYRUVATE OR INDOLE-3-PYRUVATE DECARBOXYLASE PDC	25	201.1	173.6	-0.21	4052.50	0.54996	0.85135
MB0877	NA	Cyclase/Dehydrase	6	313.9	281.3	-0.16	303.00	0.76141	0.99707
MB0878	far	PROBABLE FATTY-ACID-COA RACEMASE FAR	11	315.8	126.6	-1.32	646.00	0.06235	0.31050
MB0879	NA	CONSERVED HYPOTHETICAL PROTEIN	5	133.7	72.5	-0.88	148.00	0.41770	0.76475
MB0880	NA	link to Polyketide_cyclase/dehydratase.	6	302.2	538.3	0.83	216.00	0.13433	0.44952
MB0881c	dapc	probable n-succinyldiaminopimelate aminotransferase dapc (dap-at)	20	109.1	317.9	1.54	2621.00	0.00343	0.08030
MB0882	fadA	POSSIBLE ACYL-COA THIOLASE FADA	8	213.5	115.6	-0.89	624.00	0.10950	0.40824
MB0883	fadB	PROBABLE FATTY OXIDATION PROTEIN FADB	26	102.3	61.7	-0.73	3435.50	0.02106	0.18214
MB0884c	ercc3	dna helicase ercc3	25	107.1	100.2	-0.10	3553.00	0.00317	0.07887
MB0885c	NA	Putative DNA-binding protein	26	101.1	77.9	-0.38	2166.50	0.53127	0.83684
MB0886	NA	CONSERVED HYPOTHETICAL PROTEIN	5	636.5	234.8	-1.44	200.00	1.00000	1.00000
MB0888	moaC2	probable molybdenum cofactor biosynthesis protein c 2 moac2	9	466.9	182.4	-1.36	706.00	0.50446	0.81394
MB0889	mog	probable molybdopterin biosynthesis mog protein	8	437.4	129.6	-1.75	542.50	0.01045	0.13836
MB0890	moaE2	probable molybdenum cofactor biosynthesis protein e2 moae2 (molybdopterin converting factor large subunit) (molybdopterin [mpt] converting factor, subunit 2)	2	79.5	217.1	1.45	23.50	0.38832	0.73745
MB0891c	rpfA	POSSIBLE RESUSCITATION-PROMOTING FACTOR RPFA	9	333.5	487.9	0.55	690.00	0.62879	0.91266
MB0892c	moaD2	probable molybdenum cofactor biosynthesis protein d 2 moad2 (molybdopterin converting factor small subunit) (molybdopterin [mpt] converting factor, subunit 1)	5	292.6	328.9	0.17	162.50	0.31032	0.66259
MB0893c	moaA2	probable molybdenum cofactor biosynthesis protein a2 moaa2	13	177.9	254.1	0.51	1065.00	0.41022	0.75699
MB0894c	NA	POSSIBLE CONSERVED INTEGRAL MEMBRANE PROTEIN	6	41.5	98.2	1.24	271.00	0.70749	0.96263
MB0895	cspB	PROBABLE COLD SHOCK-LIKE PROTEIN B CSPB	3	275.7	151.0	-0.87	89.00	0.31647	0.66697
MB0896c	PE_PGRS15	pe-pgrs family protein pe_pgrs15	20	228.0	222.8	-0.03	3223.00	0.93567	1.00000
MB0897	fadE10	PROBABLE ACYL-COA DEHYDROGENASE FADE10	30	354.0	235.5	-0.59	6705.50	0.96368	1.00000
MB0898c	NA	CONSERVED HYPOTHETICAL PROTEIN	7	363.7	406.9	0.16	350.00	0.19458	0.52660
MB0899c	NA	POSSIBLE CONSERVED EXPORTED PROTEIN	10	6.6	0.0	-2.92	90.00	0.07881	0.34391
MB0900c	NA	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN	25	35.2	41.7	0.24	2724.00	0.02989	0.22066
MB0901	NA	CONSERVED HYPOTHETICAL PROTEIN	14	215.6	202.5	-0.09	1342.00	0.94831	1.00000
MB0902c	PPE13	ppe family protein ppe13	18	247.4	192.7	-0.36	3074.00	0.04619	0.27238
MB0903c	NA	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN	3	59.6	50.3	-0.24	24.00	0.41866	0.76594
MB0904	NA	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY MARR-FAMILY)	1	66.0	0.0	-6.07	16.00	0.02107	0.18214
MB0905	NA	POSSIBLE RRNA METHYLTRANSFERASE (RRNA METHYLASE)	13	309.8	327.1	0.08	1588.50	0.10097	0.39270
MB0906	NA	PROBABLE TRANSMEMBRANE PROTEIN	1	169.9	0.0	-7.42	14.00	0.06892	0.32340
MB0907c	NA	CONSERVED HYPOTHETICAL PROTEIN	6	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0908c	serC	POSSIBLE PHOSPHOSERINE AMINOTRANSFERASE SERC (PSAT)	10	10.7	0.5	-4.31	29.00	0.70013	0.95811
MB0909	NA	Putative transmembrane protein	11	78.9	74.0	-0.09	966.50	0.08022	0.34703
MB0910	fprB	PROBABLE NADPH:ADRENODOXIN OXIDOREDUCTASE FPRB (ADRENODOXIN REDUCTASE) (AR) (FERREDOXIN-NADP(+) REDUCTASE)	23	176.2	253.7	0.53	2898.00	0.97039	1.00000
MB0911c	NA	Glyoxalase/bleomycin resistance protein/dioxygenase	4	529.5	76.5	-2.79	37.00	0.56556	0.86166
MB0912	NA	PROBABLE EXPORTED PROTEIN	27	277.4	220.0	-0.33	4373.50	0.11940	0.42703
MB0913c	citA	PROBABLE CITRATE SYNTHASE II CITA	11	189.6	105.6	-0.84	1125.00	0.16655	0.50014
MB0914c	NA	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY LUXR-FAMILY)	44	252.9	293.6	0.22	14645.00	0.01951	0.17758
MB0915c	NA	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN	24	232.2	100.7	-1.21	3105.00	0.02712	0.20893
MB0916	NA	PROBABLE MONOOXYGENASE	40	32.3	31.0	-0.06	3761.00	0.30913	0.66259
MB0917c	NA	possible s-adenosylmethionine-dependent methyltransferase	21	150.9	25.8	-2.55	722.50	0.27306	0.62414
MB0918	NA	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY LUXR-FAMILY)	15	98.1	172.3	0.81	781.00	0.07136	0.32879
MB0919	NA	possible triacylglycerol synthase (diacylglycerol acyltransferase)	25	131.0	453.6	1.79	3382.00	0.63178	0.91524
MB0920	gltA2	PROBABLE CITRATE SYNTHASE I GLTA2	24	37.8	27.7	-0.45	992.00	0.79303	1.00000
MB0921c	NA	PROBABLE OXIDOREDUCTASE	19	164.7	225.3	0.45	1805.50	0.13723	0.45550
MB0922c	NA	CONSERVED HYPOTHETICAL PROTEIN	1	104.2	1529.2	3.87	2.00	0.11429	0.41699
MB0923	ompA	outer membrane protein a ompa	17	51.8	38.1	-0.44	1136.00	0.11384	0.41699
MB0924	NA	POSSIBLE MEMBRANE PROTEIN	2	79.1	43.8	-0.85	35.00	0.77234	1.00000
MB0925	NA	POSSIBLE CONSERVED EXPORTED OR MEMBRANE PROTEIN	9	98.5	189.8	0.95	763.00	0.15971	0.48781
MB0926c	prrB	TWO COMPONENT SENSOR HISTIDINE KINASE PRRB	13	59.7	46.0	-0.38	40.00	0.36542	0.71888
MB0927c	prrA	TWO COMPONENT RESPONSE TRANSCRIPTIONAL REGULATORY PROTEIN PRRA	10	134.6	42.7	-1.66	12.50	0.21860	0.55335
MB0928c	accD3	PUTATIVE ACETYL-COENZYME A CARBOXYLASE CARBOXYL TRANSFERASE (SUBUNIT BETA) ACCD3 (ACCASE BETA CHAIN)	20	45.6	145.9	1.68	1546.00	0.88634	1.00000
MB0929	echA6	POSSIBLE ENOYL-COA HYDRATASE ECHA6 (ENOYL HYDRASE) (UNSATURATED ACYL-COA HYDRATASE) (CROTONASE)	7	99.3	361.1	1.86	263.50	0.55529	0.85502
MB0930	NA	Outer membrane protein romA	12	163.6	557.1	1.77	765.00	0.70772	0.96263
MB0931	NA	Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily / DUF3471 domain	35	62.9	48.8	-0.37	3643.00	0.03270	0.23009
MB0932	ctpE	PROBABLE METAL CATION TRANSPORTER ATPASE P-TYPE CTPE	27	103.6	159.9	0.63	4010.50	0.00213	0.06498
MB0933	NA	Antitoxin Rv0909	2	250.2	154.7	-0.69	39.00	0.49163	0.80149
MB0934	NA	Toxin Rv0910	6	110.1	116.7	0.08	105.50	0.37550	0.72501
MB0935	NA	Putative hydroxylase	15	148.2	132.7	-0.16	1404.00	0.70017	0.95811
MB0936	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	4	143.5	46.1	-1.64	97.00	0.12313	0.43161
MB0937c	NA	POSSIBLE DIOXYGENASE	40	33.5	33.5	-0.00	4486.00	0.01606	0.16147
MB0938c	NA	POSSIBLE LIPID CARRIER PROTEIN OR KETO ACYL-COA THIOLASE	16	44.8	171.1	1.93	1328.00	0.11134	0.41141
MB0939c	PPE14	ppe family protein ppe14	18	151.6	157.6	0.06	1353.00	0.99731	1.00000
MB0940c	PE7	pe family protein pe7	4	93.7	89.3	-0.07	162.00	0.15573	0.48235
MB0941	betP	POSSIBLE GLYCINE BETAINE TRANSPORT INTEGRAL MEMBRANE PROTEIN BETP	38	212.8	325.9	0.61	9748.50	0.08155	0.34964
MB0942	NA	link to N-acetyltransferase activity	7	125.4	43.5	-1.53	263.00	0.04718	0.27614
MB0943	NA	gcn5-related n-acetyltransferase	9	138.6	336.5	1.28	603.50	0.59630	0.88746
MB0944c	NA	probable transposase	21	132.4	101.2	-0.39	2828.00	0.01274	0.14725
MB0945	NA	POSSIBLE RESOLVASE	7	115.2	32.3	-1.83	460.00	0.20331	0.53717
MB0946	NA	possible transposase	17	254.3	232.2	-0.13	2275.00	0.00819	0.12103
MB0947c	NA	Phage-related replication protein	18	217.9	220.6	0.02	1922.50	0.49659	0.80575
MB0948c	mntH	conserved protein	37	187.9	514.0	1.45	7256.50	0.42566	0.77190
MB0949c	NA	Oxidoreductase	20	168.2	79.6	-1.08	3230.00	0.00548	0.09940
MB0950c	NA	probable short-chain type dehydrogenase/reductase	6	110.6	29.9	-1.89	253.00	0.13290	0.44861
MB0951	pstS3	PERIPLASMIC PHOSPHATE-BINDING LIPOPROTEIN PSTS3 (PBP-3) (PSTS3) (PHOS1)	21	123.6	49.6	-1.32	1267.50	0.47263	0.78901
MB0952	pstC2	PHOSPHATE-TRANSPORT INTEGRAL MEMBRANE ABC TRANSPORTER PSTC2	16	9.5	44.3	2.22	718.00	0.27017	0.62123
MB0953	pstA1	PROBABLE PHOSPHATE-TRANSPORT INTEGRAL MEMBRANE ABC TRANSPORTER PSTA1	16	46.8	109.8	1.23	1025.00	0.55346	0.85399
MB0954c	pknDb	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE D PKNDb [SECOND PART](PROTEIN KINASE D) (STPK D)	21	324.1	277.6	-0.22	3317.00	0.68333	0.94970
MB0955c	pknDa	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE D PKNDa [FIRST PART] (PROTEIN KINASE D) (STPK D)	22	356.2	366.8	0.04	3024.50	0.60608	0.89325
MB0956c	pstS2	PERIPLASMIC PHOSPHATE-BINDING LIPOPROTEIN PSTS2 (PBP-2) (PSTS2)	25	116.0	201.4	0.80	4458.00	0.50354	0.81310
MB0957	pstBa	PHOSPHATE-TRANSPORT PROTEIN ABC TRANSPORTER PSTBa [FIRST PART]	3	271.5	1.2	-7.88	59.00	0.00367	0.08067
MB0958	pstBb	PHOSPHATE-TRANSPORT PROTEIN ABC TRANSPORTER PSTBb [SECOND PART]	7	27.1	117.7	2.12	285.50	0.95904	1.00000
MB0959	pstS1	PERIPLASMIC PHOSPHATE-BINDING LIPOPROTEIN PSTS1 (PBP-1) (PSTS1)	19	168.7	217.0	0.36	3234.00	0.18483	0.51604
MB0960	pstC1	PHOSPHATE-TRANSPORT INTEGRAL MEMBRANE ABC TRANSPORTER PSTC1	11	564.1	231.7	-1.28	825.00	0.81195	1.00000
MB0961	pstA2	PHOSPHATE-TRANSPORT INTEGRAL MEMBRANE ABC TRANSPORTER PSTA2	18	55.5	28.6	-0.95	1432.00	0.01849	0.17557
MB0962c	mku	dna end-binding protein, mku	11	22.4	87.6	1.96	507.00	0.01609	0.16147
MB0963	ligd	atp dependent dna ligase ligd (atp dependent polydeoxyribonucleotide synthase) (thermostable dna ligase) (atp dependent polynucleotide ligase) (sealase) (dna repair enzyme) (dna joinase)	34	69.6	41.9	-0.73	4319.00	0.78115	1.00000
MB0964	NA	POSSIBLE BIFUNCTIONAL ENZYME: 2-HYDROXYHEPTA-2,4-DIENE-1,7-DIOATE ISOMERASE (HHDD ISOMERASE) + CYCLASE/DEHYDRASE	27	38.6	59.4	0.62	2945.00	0.07443	0.33715
MB0965c	NA	POSSIBLE OXIDOREDUCTASE	15	46.4	56.1	0.27	1187.00	0.74665	0.98703
MB0966c	NA	Protein serine/threonine kinase	8	225.6	96.2	-1.23	672.50	0.01981	0.17773
MB0967	NA	HYPOTHETICAL PROTEIN	6	154.3	62.5	-1.30	304.00	0.71738	0.96953
MB0968c	NA	PROBABLE MONOOXYGENASE	13	274.3	363.5	0.41	1374.00	0.88627	1.00000
MB0969	NA	POSSIBLE FORMAMIDOPYRIMIDINE-DNA GLYCOSYLASE (FAPY-DNA GLYCOSYLASE)	7	486.7	290.9	-0.74	161.50	0.19392	0.52644
MB0970	NA	probable short-chain type dehydrogenase/reductase	6	371.6	137.2	-1.44	158.50	0.21247	0.54529
MB0971c	pgi	PROBABLE GLUCOSE-6-PHOSPHATE ISOMERASE PGI (GPI) (PHOSPHOGLUCOSE ISOMERASE) (PHOSPHOHEXOSE ISOMERASE) (PHI)	16	0.4	25.1	5.97	328.50	0.12207	0.43069
MB0972c	NA	probable mycolyl transferase, pseudogene	10	292.9	168.0	-0.80	670.00	0.80151	1.00000
MB0973c	NA	chorismate mutase	6	8.0	0.0	-3.18	12.00	0.18588	0.51604
MB0974	uvrD1	probable atp-dependent dna helicase ii uvrd1	40	38.1	30.9	-0.30	7499.00	0.49546	0.80423
MB0975c	NA	Phage peptidoglycan binding endopeptidase	18	84.2	21.7	-1.96	1522.50	0.00151	0.05302
MB0976	sucC	PROBABLE SUCCINYL-COA SYNTHETASE (BETA CHAIN) SUCC (SCS-BETA)	12	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0977	sucD	PROBABLE SUCCINYL-COA SYNTHETASE (ALPHA CHAIN) SUCD (SCS-ALPHA)	11	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0978c	NA	POSSIBLE OXIDOREDUCTASE	13	210.6	396.3	0.91	1291.00	0.29340	0.65021
MB0979	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	26	83.2	62.6	-0.41	3664.00	0.07881	0.34391
MB0980	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN	16	3.8	1.2	-1.63	78.00	0.58067	0.87608
MB0981	purN	PROBABLE 5'-PHOSPHORIBOSYLGLYCINAMIDE FORMYLTRANSFERASE PURN (GART) (GAR TRANSFORMYLASE) (5'-PHOSPHORIBOSYLGLYCINAMIDE TRANSFORMYLASE)	15	124.0	143.4	0.21	33.00	0.95749	1.00000
MB0982	purH	PROBABLE BIFUNCTIONAL PURINE BIOSYNTHESIS PROTEIN PURH: PHOSPHORIBOSYLAMINOIMIDAZOLECARBOXAMIDE FORMYLTRANSFERASE (AICAR TRANSFORMYLASE) (5'-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE-4-CARBOXAMIDE FORMYLTRANSFERASE) + INOSINEMONOPHOSPHATE CYCLOHYDROLASE (IMP CYCLOHYDROLASE) (INOSINICASE) (IMP SYNTHETASE) (ATIC)	23	0.0	0.0	0.00	0.00	1.00000	1.00000
MB0983	NA	POSSIBLE MAGNESIUM CHELATASE	13	33.8	472.0	3.80	754.00	0.06021	0.30444
MB0984	NA	FIG019045: long form Mg-chelase associated protein with vWA domain	19	72.2	40.4	-0.84	1690.00	0.41924	0.76596
MB0984A	vapB9	Possible antitoxin VapB9	2	277.0	414.6	0.58	31.50	1.00000	1.00000
MB0985	vapc9	possible toxin vapc9	4	490.7	276.6	-0.83	78.00	0.74631	0.98703
MB0986	NA	PROBABLE INTEGRAL MEMBRANE PROTEIN	5	42.9	9.0	-2.25	295.00	0.00328	0.07887
MB0987c	lprP	POSSIBLE LIPOPROTEIN LPRP	15	223.9	66.5	-1.75	1521.00	0.00465	0.09051
MB0988c	NA	CONSERVED HYPOTHETICAL PROTEIN	10	111.3	539.5	2.28	908.00	0.26616	0.61661
MB0989c	NA	HYPOTHETICAL PROTEIN	5	64.7	319.3	2.30	122.00	0.82213	1.00000
MB0990c	NA	CONSERVED HYPOTHETICAL PROTEIN	7	117.6	61.7	-0.93	473.00	0.14775	0.46893
MB0991c	NA	conserved protein	9	71.2	207.7	1.54	394.00	0.97801	1.00000
MB0992	csor	copper-sensitive operon repressor csor	1	23.2	437.4	4.24	6.00	0.64455	0.92297
MB0993	NA	conserved protein	5	258.9	338.4	0.39	179.00	0.56390	0.86122
MB0994	ctpV	PROBABLE METAL CATION TRANSPORTER P-TYPE ATPASE CTPV	18	476.6	237.4	-1.01	2177.00	0.04066	0.25528
MB0995	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN	11	87.3	54.9	-0.67	960.00	0.09050	0.36654
MB0996c	echA7	PROBABLE ENOYL-COA HYDRATASE ECHA7 (ENOYL HYDRASE) (UNSATURATED ACYL-COA HYDRATASE) (CROTONASE)	6	181.1	237.9	0.39	178.50	0.54372	0.84781
MB0997c	fadE12	acyl-coa dehydrogenase fade12	16	29.9	16.4	-0.87	1519.50	0.14133	0.46216
MB0998c	accA2	PROBABLE ACETYL-/PROPIONYL-COENZYME A CARBOXYLASE ALPHA CHAIN (ALPHA SUBUNIT) ACCA2: BIOTIN CARBOXYLASE + BIOTIN CARBOXYL CARRIER PROTEIN (BCCP)	25	70.3	34.0	-1.05	435.00	0.42314	0.76911
MB0999c	accD2	PROBABLE ACETYL-/PROPIONYL-COA CARBOXYLASE (BETA SUBUNIT) ACCD2	18	82.3	83.8	0.03	1106.50	0.66453	0.93786
MB1000c	fadE13	PROBABLE ACYL-COA DEHYDROGENASE FADE13	16	164.6	311.9	0.92	1349.00	0.98608	1.00000
MB1001c	NA	Terpene utilization protein AtuA	20	180.7	229.0	0.34	1538.00	0.85910	1.00000
MB1002	PE_PGRS16	pe-pgrs family protein pe_pgrs16	25	404.2	429.3	0.09	4783.00	0.64254	0.92297
MB1003c	PE_PGRS17	pe-pgrs family protein pe_pgrs17	8	523.1	216.2	-1.27	568.00	0.00385	0.08242
MB1004c	NA	HYPOTHETICAL PROTEIN	1	2.7	1.3	-1.08	8.50	1.00000	1.00000
